"Year";"Month";"Alliz_Maso_Strimo_Osservatore";"Andalo";"Anterivo_Osservatore";"Anterselva_di_Mezzo_Osservatore";"Belvedere_sas_bece_";"Bondone_viote";"Braies_Ferrara_Osservatore";"Bronzolo_Osservatore";"Buffaure";"Campiglio_pradalago";"Canazei_ciampac";"Caoria";"Casere_di_Fuori_Osservatore";"Col_verde";"Corona_Cortaccia_Osservatore";"Costalovara_Osservatore";"Diga_di_Gioveretto_Osservatore";"Diga_di_Neves_Osservatore";"Diga_di_Quaira_Osservatore";"Diga_di_Valdaora_Osservatore";"Diga_di_Vizze_Osservatore";"Diga_di_Zoccolo_Osservatore";"Dossioli_pra_alpesina";"Favogna_di_sotto_Osservatore";"Fie_allo_Sciliar_Osservatore";"Fleres_Osservatore";"Folgaria_passo_sommo";"Folgarida_malghet_aut";"Fontana_Bianca";"Fortezza_Osservatore";"Fundres_Osservatore";"Groste_";"La_Villa_in_Badia_Osservatore";"Lago_di_calaita";"Lago_Verde_Osservatore";"Lazfons_Osservatore";"Longiaru_Osservatore";"Lusia";"Luson_Osservatore";"Maia_Alta_Osservatore";"Malga_baessa";"Malga_bissina";"Malga_val_cigolera";"Malga_zugna";"Marmolada";"Masi_lozen";"Mazia_Osservatore";"Melago_Osservatore";"Meltina_Osservatore";"Molini_di_Tures_Osservatore";"Monte_bondone_vason_palon";"Monte_Maria_Osservatore";"Nova_Levante_Osservatore";"Nova_Ponente_Maso_di_sopra_Osservatore";"Ora_Osservatore";"Ortisei_Osservatore";"Paganella";"Pampeago";"Pampeago_monsorno";"Pampeago_tresca";"Panarotta";"Paneveggio";"Passo_brocon_malga_marande";"Passo_durone";"Passo_fedaia";"Passo_rolle";"Passo_san_pellegrino";"Passo_san_valentino";"Passo_tonale_scuola_pat";"Passo_valles";"Pejo_tarlenta";"Pennes_Osservatore";"Pinzolo_grual";"Plata_Osservatore";"Pozza_di_fassa";"Prato_allo_Stelvio_Osservatore";"Predazzo_gardone";"Presena";"Rabbi";"Racines_di_Dentro_Osservatore";"Redagno_Osservatore";"Ridanna_Osservatore";"Rifiano_Beobachter";"Rifugio_trivena";"Roia_di_Fuori_Osservatore";"Rumo";"S_Cassiano_Osservatore";"S_Genesio_Atesino_Osservatore";"S_Leonardo_in_Passiria_Osservatore";"S_Maddalena_in_Casies_Osservatore";"S_Martino_in_Passiria_Osservatore";"S_Pancrazio_Osservatore";"S_Valentino_alla_Muta_Osservatore";"S_Valpurga_d_Ultimo_Osservatore";"S_Vito_di_Braies_Osservatore";"San_Candido_Osservatore";"San_martino_di_castrozza";"San_Martino_Osservatore";"Scena_Osservatore";"Sesto_Osservatore";"Silandro_Convento_Osservatore";"Slingia_Osservatore";"Terento_Osservatore";"Terme_di_Brennero_Osservatore";"Tremalzo";"Trento_citta_";"Val_noana_diga";"Vallarsa_pian_fugazze";"Valles_osservatore";"Valluzza_Osservatore";"Vanga_Osservatore";"Vermiglio";"Vigo_di_fassa_ciampedie";"Villa_welsperg";"Vipiteno_osservatore"
1980;1;47;67;30;36;245;75;89;10;140;NA;185;55;36;NA;36;NA;105;131;49;51;89;73;NA;43;13;NA;69;181;98;11;112;165;90;128;113;28;93;234;36;11;53;135;159;NA;NA;57;27;93;18;77;124;36;NA;48;NA;58;69;104;129;220;138;105;104;NA;69;181;140;54;148;169;123;111;77;73;60;33;81;NA;88;123;57;144;4;NA;120;57;97;NA;NA;67;21;43;72;NA;91;90;91;70;9;80;10;96;30;NA;NA;NA;86;99;NA;60;24;NA;156;40;48
1980;2;38;57;25;31;192;90;83;4;127;NA;159;51;38;NA;30;NA;93;138;90;50;63;75;NA;28;7;NA;76;155;86;5;125;143;80;115;108;21;84;178;31;4;53;135;147;NA;NA;54;19;89;11;85;133;29;NA;41;2;50;84;97;111;180;136;86;111;NA;59;179;127;62;127;158;104;96;79;64;61;28;78;NA;59;119;51;106;2;117;97;64;91;NA;NA;61;11;33;51;NA;69;73;95;62;6;68;5;78;21;NA;NA;NA;89;122;NA;54;17;NA;131;37;48
1980;3;24;33;16;12;206;102;62;0;119;NA;160;34;15;NA;2;NA;86;105;75;25;40;17;NA;12;1;NA;71;143;80;0;16;156;55;120;85;3;66;176;4;0;42;165;175;NA;NA;44;7;73;2;0;132;10;NA;31;0;8;100;75;98;193;156;70;108;NA;15;177;120;59;105;162;93;57;73;2;57;0;65;NA;19;29;36;50;0;114;68;25;67;NA;NA;34;0;1;23;NA;41;36;66;32;0;42;0;48;6;NA;NA;NA;65;121;NA;35;3;NA;NA;25;0
1980;4;3;NA;4;1;NA;63;NA;0;NA;NA;NA;NA;3;NA;0;NA;58;48;57;1;10;3;NA;1;0;NA;NA;NA;64;0;2;NA;6;NA;76;0;15;NA;0;0;NA;132;NA;NA;NA;NA;1;26;0;0;NA;1;NA;5;0;1;86;48;NA;NA;86;29;50;NA;NA;147;NA;NA;56;120;NA;19;NA;0;24;0;NA;NA;4;8;9;NA;0;NA;30;NA;8;NA;NA;4;0;0;3;NA;2;NA;9;7;0;7;0;11;2;NA;NA;NA;6;NA;NA;7;0;NA;NA;NA;0
1980;5;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;6;NA;NA;0;NA;0;NA;0;0;NA;NA;NA;13;0;0;NA;0;NA;NA;0;0;NA;0;0;NA;58;NA;NA;NA;NA;0;NA;0;0;NA;NA;NA;0;0;0;48;NA;NA;NA;NA;NA;NA;NA;NA;59;NA;NA;NA;18;NA;0;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;NA;NA;NA;0;NA;NA;0;0;0;NA;NA;0;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1980;6;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;0;0;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;NA;NA;NA;0;NA;NA;0;0;0;NA;NA;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1980;7;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;0;0;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;NA;NA;NA;0;NA;NA;0;0;0;NA;NA;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1980;8;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;0;0;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;NA;NA;NA;0;NA;NA;0;0;0;NA;NA;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1980;9;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;0;0;0;NA;0;NA;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1980;10;15;NA;8;5;NA;NA;1;0;NA;NA;NA;NA;8;NA;1;NA;10;4;0;0;0;0;NA;1;0;NA;NA;NA;9;0;0;NA;1;NA;18;0;1;NA;0;0;NA;2;NA;NA;NA;NA;1;4;0;6;NA;0;NA;22;0;0;16;NA;NA;NA;NA;NA;NA;NA;NA;19;NA;NA;NA;17;NA;15;NA;9;NA;0;NA;NA;NA;11;16;4;0;NA;5;NA;6;NA;NA;0;0;0;0;NA;2;1;1;9;0;2;0;2;3;3;NA;NA;NA;NA;NA;2;1;NA;NA;NA;0
