"Date";"Alliz_Maso_Strimo_Osservatore";"Andalo";"Anterivo_Osservatore";"Anterselva_di_Mezzo_Osservatore";"Belvedere_sas_bece_";"Bondone_viote";"Braies_Ferrara_Osservatore";"Bronzolo_Osservatore";"Buffaure";"Campiglio_pradalago";"Canazei_ciampac";"Caoria";"Casere_di_Fuori_Osservatore";"Col_verde";"Corona_Cortaccia_Osservatore";"Costalovara_Osservatore";"Diga_di_Gioveretto_Osservatore";"Diga_di_Neves_Osservatore";"Diga_di_Quaira_Osservatore";"Diga_di_Valdaora_Osservatore";"Diga_di_Vizze_Osservatore";"Diga_di_Zoccolo_Osservatore";"Dossioli_pra_alpesina";"Favogna_di_sotto_Osservatore";"Fie_allo_Sciliar_Osservatore";"Fleres_Osservatore";"Folgaria_passo_sommo";"Folgarida_malghet_aut";"Fontana_Bianca";"Fortezza_Osservatore";"Fundres_Osservatore";"Groste_";"La_Villa_in_Badia_Osservatore";"Lago_di_calaita";"Lago_Verde_Osservatore";"Lazfons_Osservatore";"Longiaru_Osservatore";"Lusia";"Luson_Osservatore";"Maia_Alta_Osservatore";"Malga_baessa";"Malga_bissina";"Malga_val_cigolera";"Malga_zugna";"Marmolada";"Masi_lozen";"Mazia_Osservatore";"Melago_Osservatore";"Meltina_Osservatore";"Molini_di_Tures_Osservatore";"Monte_bondone_vason_palon";"Monte_Maria_Osservatore";"Nova_Levante_Osservatore";"Nova_Ponente_Maso_di_sopra_Osservatore";"Ora_Osservatore";"Ortisei_Osservatore";"Paganella";"Pampeago";"Pampeago_monsorno";"Pampeago_tresca";"Panarotta";"Paneveggio";"Passo_brocon_malga_marande";"Passo_durone";"Passo_fedaia";"Passo_rolle";"Passo_san_pellegrino";"Passo_san_valentino";"Passo_tonale_scuola_pat";"Passo_valles";"Pejo_tarlenta";"Pennes_Osservatore";"Pinzolo_grual";"Plata_Osservatore";"Pozza_di_fassa";"Prato_allo_Stelvio_Osservatore";"Predazzo_gardone";"Presena";"Rabbi";"Racines_di_Dentro_Osservatore";"Redagno_Osservatore";"Ridanna_Osservatore";"Rifiano_Beobachter";"Rifugio_trivena";"Roia_di_Fuori_Osservatore";"Rumo";"S_Cassiano_Osservatore";"S_Genesio_Atesino_Osservatore";"S_Leonardo_in_Passiria_Osservatore";"S_Maddalena_in_Casies_Osservatore";"S_Martino_in_Passiria_Osservatore";"S_Pancrazio_Osservatore";"S_Valentino_alla_Muta_Osservatore";"S_Valpurga_d_Ultimo_Osservatore";"S_Vito_di_Braies_Osservatore";"San_Candido_Osservatore";"San_martino_di_castrozza";"San_Martino_Osservatore";"Scena_Osservatore";"Sesto_Osservatore";"Silandro_Convento_Osservatore";"Slingia_Osservatore";"Terento_Osservatore";"Terme_di_Brennero_Osservatore";"Tremalzo";"Trento_citta_";"Val_noana_diga";"Vallarsa_pian_fugazze";"Valles_osservatore";"Valluzza_Osservatore";"Vanga_Osservatore";"Vermiglio";"Vigo_di_fassa_ciampedie";"Villa_welsperg";"Vipiteno_osservatore"
"1980-1981";9;NA;5;10;NA;14;20;0;NA;NA;NA;NA;8;NA;2;NA;19;33;14;16;13;2;NA;5;1;NA;NA;NA;18;1;11;NA;18;NA;29;2;20;NA;7;0;NA;26;NA;NA;NA;NA;5;19;1;10;NA;3;NA;12;3;9;31;31;NA;NA;NA;23;26;NA;NA;39;NA;NA;26;49;NA;23;NA;4;13;1;NA;NA;5;16;14;35;0;NA;15;NA;19;NA;NA;18;0;1;7;NA;22;14;4;14;0;15;0;13;6;20;NA;NA;16;NA;NA;8;2;NA;NA;NA;1
"1981-1982";23;37;10;14;NA;34;33;1;NA;NA;NA;NA;18;NA;5;NA;47;65;36;17;30;9;NA;10;2;NA;NA;NA;41;1;23;NA;27;NA;22;6;32;NA;7;1;NA;72;NA;NA;NA;NA;14;60;5;16;NA;21;NA;19;3;10;92;49;NA;NA;NA;24;40;NA;NA;104;NA;30;64;91;NA;41;NA;11;25;4;NA;NA;16;30;20;61;1;NA;54;NA;34;NA;NA;20;3;6;23;NA;17;21;33;26;1;21;1;36;9;47;82;NA;35;NA;NA;15;4;NA;NA;NA;4
"1982-1983";14;NA;3;6;NA;14;17;0;NA;NA;NA;NA;10;NA;2;NA;33;67;55;11;15;3;NA;1;1;NA;NA;NA;35;1;16;NA;15;NA;50;2;19;NA;2;0;NA;53;NA;NA;NA;NA;7;34;1;6;NA;9;NA;7;4;9;70;34;NA;NA;NA;17;19;NA;NA;113;NA;NA;64;63;NA;24;NA;5;14;1;NA;NA;12;15;10;25;0;NA;46;NA;7;NA;NA;18;0;1;14;NA;12;12;9;14;0;11;1;20;5;27;NA;NA;8;NA;NA;9;1;NA;NA;NA;0
"1983-1984";24;54;11;12;NA;77;40;1;NA;NA;NA;NA;9;NA;5;NA;53;64;55;17;28;25;NA;4;2;NA;NA;NA;59;0;23;NA;37;NA;79;7;30;NA;7;1;NA;86;NA;NA;NA;NA;7;78;3;8;NA;16;NA;23;3;16;126;65;NA;NA;NA;50;93;NA;NA;149;NA;NA;96;79;74;52;NA;15;43;3;NA;NA;39;31;28;56;0;NA;54;NA;22;NA;NA;28;1;9;29;NA;37;30;53;30;1;32;1;41;9;60;NA;NA;54;NA;NA;28;9;NA;NA;NA;4
"1984-1985";14;NA;15;0;NA;63;12;1;NA;NA;NA;NA;6;NA;3;NA;57;33;77;6;4;9;NA;15;1;NA;NA;NA;62;0;4;NA;16;NA;58;3;10;NA;3;1;NA;115;NA;NA;NA;NA;2;33;3;3;NA;2;NA;15;0;7;150;62;NA;NA;NA;34;70;NA;NA;162;NA;NA;122;87;NA;17;NA;3;28;2;NA;NA;29;12;21;19;0;NA;27;NA;18;NA;NA;9;1;5;6;NA;16;9;41;10;1;16;1;16;3;6;NA;NA;38;NA;NA;13;3;NA;NA;NA;2
"1985-1986";33;54;20;0;NA;73;51;2;NA;NA;NA;NA;33;NA;10;NA;71;75;102;30;31;24;NA;6;6;NA;74;NA;76;5;40;NA;44;NA;83;14;52;NA;12;1;NA;121;NA;NA;NA;NA;18;82;5;38;NA;28;NA;31;3;21;177;86;NA;NA;NA;45;92;NA;NA;146;NA;59;97;101;NA;39;NA;17;53;9;NA;NA;50;44;33;67;2;NA;59;NA;40;NA;NA;37;5;21;36;NA;34;37;58;38;3;42;4;49;12;39;74;NA;47;96;NA;33;11;NA;NA;NA;7
"1986-1987";16;NA;14;0;NA;48;18;1;NA;NA;82;NA;13;NA;3;NA;45;51;54;8;15;13;NA;1;1;NA;NA;NA;50;1;15;NA;19;NA;41;4;10;NA;6;0;NA;65;NA;NA;NA;NA;7;45;2;6;NA;7;NA;15;2;9;96;64;NA;NA;NA;32;61;NA;NA;92;NA;NA;58;73;64;32;NA;4;34;2;24;NA;33;26;19;40;0;NA;46;NA;22;NA;NA;17;1;3;16;NA;18;14;41;16;0;24;1;28;5;29;NA;NA;36;NA;NA;15;4;NA;NA;NA;1
"1987-1988";16;NA;3;0;NA;34;16;0;NA;NA;NA;NA;12;NA;2;NA;39;50;52;8;14;16;NA;3;1;NA;NA;NA;41;0;13;NA;25;NA;42;3;31;NA;2;0;NA;76;NA;NA;NA;NA;2;44;2;4;NA;11;NA;12;0;8;105;54;NA;NA;NA;32;49;NA;NA;110;NA;23;76;74;NA;25;NA;5;27;2;NA;NA;27;20;16;38;0;NA;30;NA;37;NA;NA;10;0;0;13;NA;17;13;45;15;0;29;0;27;4;26;NA;NA;18;NA;NA;13;0;NA;NA;NA;2
"1988-1989";5;NA;2;7;NA;11;7;0;NA;NA;NA;NA;4;NA;2;NA;10;16;35;2;4;4;NA;2;0;NA;NA;NA;21;0;6;NA;3;NA;30;1;8;NA;1;0;NA;30;NA;NA;NA;NA;1;17;1;3;NA;1;4;4;0;3;37;15;NA;NA;NA;10;16;NA;NA;34;NA;NA;35;33;NA;17;NA;4;7;1;NA;NA;6;8;5;20;0;NA;22;NA;9;NA;NA;5;1;2;4;NA;5;5;7;7;0;5;0;9;2;8;NA;NA;5;NA;NA;3;1;NA;NA;NA;1
"1989-1990";8;1;1;5;NA;2;3;0;NA;NA;26;NA;5;NA;0;0;19;14;42;1;1;1;NA;0;0;NA;NA;NA;14;0;2;NA;4;NA;61;0;3;NA;0;0;NA;17;NA;NA;NA;NA;3;34;0;2;NA;4;NA;2;0;0;30;10;NA;NA;NA;5;8;NA;NA;30;NA;NA;27;27;NA;5;NA;0;4;0;4;NA;2;13;2;3;0;NA;30;NA;5;NA;NA;5;0;0;11;NA;2;2;4;3;0;3;0;12;0;0;NA;NA;1;NA;NA;0;0;NA;NA;NA;3
